airport,freq_1993,freq_2003,shift_absolute,shift_pct
PIH,0.0,0.0002800447502981695,0.0002800447502981695,0.0
PIT,0.02418704125400503,0.010082558708704652,-0.01410448254530038,-58.31421213194018
PNS,0.0012992548728086755,0.001054945790886336,-0.0002443090819223394,-18.803784156237345
PSC,0.00021282458009348607,0.0004907495990842711,0.000277925018990785,130.58877826457012
PSE,4.5418654486428565e-05,0.0,-4.5418654486428565e-05,-100.0
PSG,0.00012580565357745257,0.00010203548149611814,-2.3770172081334423e-05,-18.894359200399734
PSP,0.0006207886004804329,0.001918772491044649,0.001297983890564216,209.0862959725254
PVD,0.0026272480977923922,0.004305075980895041,0.0016778278831026485,63.86255963083515
PWM,0.0012666981381768108,0.0014679841563853284,0.00020128601820851755,15.890606620629708
RAP,0.0005182951766393773,0.0006351155899317199,0.00011682041329234263,22.539359530568174
RDD,0.0,0.00034575180958978734,0.00034575180958978734,0.0
RDM,0.0,0.00039961264424950296,0.00039961264424950296,0.0
RDU,0.010915951574067878,0.007832565776952016,-0.003083385797115862,-28.246605677885256
RIC,0.003121025239709007,0.0023968861171882244,-0.0007241391225207825,-23.201963037899002
RNO,0.0036909690632643674,0.004315500658571115,0.0006245315953067477,16.920531833295815
ROA,0.0005657235061030815,0.000713774521487551,0.00014805101538446948,26.17020749310933
ROC,0.003691973900753005,0.002378248057100698,-0.0013137258436523068,-35.58329172869729
ROR,2.632674220231036e-05,0.0,-2.632674220231036e-05,-100.0
RST,0.0006559579125827559,0.00029078532729776084,-0.00036517258528499504,-55.67012429915993
RSW,0.0036071656167119747,0.0029557120204904935,-0.0006514535962214812,-18.059985746240788
SAN,0.012022478616555823,0.012852995775952196,0.0008305171593963722,6.908036070471275
SAT,0.007078276237462391,0.006044101756858293,-0.0010341744806040987,-14.610541407392954
SAV,0.001404561841617917,0.0013635794299628296,-4.098241165508736e-05,-2.9178075639503103
SBA,0.0005052322892870859,0.0016992224612000604,0.0011939901719129745,236.32499292508967
SBN,0.0006366650328009101,0.00046042326402660126,-0.00017624176877430886,-27.682024250485416
SBP,0.0,0.0008699867369669021,0.0008699867369669021,0.0
SCC,0.00010651277379560681,5.923112315951131e-05,-4.72816506360955e-05,-44.39059180528604
SCE,0.0,0.00022033977815338207,0.00022033977815338207,0.0
SDF,0.0035364250575118735,0.003213959717465963,-0.00032246534004591034,-9.11839880109852
SEA,0.014042201968717801,0.01624986120173473,0.0022076592330169294,15.721602907684936
SFO,0.02336749579827204,0.019018402873041167,-0.004349092925230873,-18.611720155107406
SGF,0.00034666893358004103,0.0006387484321521699,0.0002920794985721289,84.25315056524724
SGU,0.0,0.0004820623676875427,0.0004820623676875427,0.0
SHV,0.0010092587735878065,0.0012593326532020898,0.0002500738796142833,24.777974307352068
SIT,0.00020036459523437735,0.00019854272483068192,-1.82187040369543e-06,-0.9092776104302704
SJC,0.006890170659589395,0.009747863375437975,0.0028576927158485794,41.474919229633095
SJT,0.0,0.000366759114603694,0.000366759114603694,0.0
SJU,0.004143949803142288,0.0037508306177837735,-0.0003931191853585145,-9.486581740454934
SLC,0.013444122695480582,0.019530159777139344,0.006086037081658762,45.26912777807854
SMF,0.005910856043162996,0.0072928517827225495,0.0013819957395595538,23.380636061304333
SMX,0.0,0.0003275875984875372,0.0003275875984875372,0.0
SNA,0.006073036813829136,0.007220194938313549,0.001147158124484413,18.889365562088752
SPI,6.611830675236725e-05,0.0,-6.611830675236725e-05,-100.0
SPN,0.00017182721055706383,0.0,-0.00017182721055706383,-100.0
SPS,0.0,0.00031621522284091104,0.00031621522284091104,0.0
SRQ,0.0019481789229709669,0.0006529639017104527,-0.0012952150212605141,-66.48337100810615
STL,0.02623228747837841,0.01565012633603696,-0.01058216114234145,-40.34021490144025
STT,0.0006561588800804834,0.0004815885187022666,-0.00017457036137821682,-26.60489199762172
STX,0.00041298820783013584,9.761289096687463e-05,-0.0003153753168632612,-76.36424258219418
SUN,0.0,0.0004680048477910187,0.0004680048477910187,0.0
SUX,0.00011394857121152653,0.0,-0.00011394857121152653,-100.0
SWF,0.0007932187135306794,0.0002689882739750607,-0.0005242304395556187,-66.08901562876996
SYR,0.0033410846497206855,0.001963156345998843,-0.0013779283037218424,-41.24194530171623
TLH,0.0012480081608881477,0.0005785696110221065,-0.0006694385498660412,-53.64055867949084
TOL,0.0004815181245552338,0.0006692327168715985,0.0001877145923163647,38.98391000125944
TPA,0.010976040855888419,0.010382978965369695,-0.0005930618905187236,-5.403240551902266
TRI,0.0006063189406440486,0.0004481031904094229,-0.00015821575023462563,-26.094475964508803
TUL,0.004842512825243286,0.0033695401342982794,-0.0014729726909450068,-30.417527926134202
TUS,0.0031736787241136277,0.0028541503879796516,-0.00031952833613397603,-10.068074430666156
TVC,0.0001336433859888274,0.000337064578193059,0.0002034211922042316,152.21194127873835
TWF,0.0,0.0003040530988854914,0.0003040530988854914,0.0
TXK,0.0,0.0002723052168719933,0.0002723052168719933,0.0
TYR,0.0,0.00046563560286463825,0.00046563560286463825,0.0
TYS,0.001727516610466106,0.001628145113408647,-9.9371497057459e-05,-5.752274476286934
VCT,0.0,0.00013694235674479015,0.00013694235674479015,0.0
