airport,target_rate_1993,target_rate_2003,shift_absolute,shift_pct
LAN,0.942375539004312,0.8858183376178235,-0.056557201386488565,-6.001556603033791
LAS,0.8767283700400846,0.8516083787287397,-0.025119991311344902,-2.8651965842278377
LAW,,0.940893801057184,,
LAX,0.8654843888911004,0.8953160539900029,0.02983166509890256,3.4468172368913903
LBB,0.914410480349345,0.904869297796002,-0.00954118255334302,-1.0434244530637782
LCH,,0.893491124260355,,
LEX,0.8693908726370059,0.7781647486371895,-0.09122612399981633,-10.49310809108364
LFT,0.9194139194139194,0.8513513513513513,-0.06806256806256805,-7.402821147841067
LGA,0.8400546480783422,0.8170790638960936,-0.022975584182248543,-2.735010660890466
LGB,0.9338806301309075,0.877845001440507,-0.05603562869040046,-6.000298847888688
LIH,0.9555555555555556,0.9563283461382935,0.0007727905827379367,0.08087343307722593
LIT,0.8911042944785276,0.8825712308950249,-0.008533063583502698,-0.9575830389748294
LNK,0.8058384249830278,0.8264218009478673,0.0205833759648395,2.554280774743773
LNY,,0.9824561403508771,,
LRD,,0.893351182507809,,
LSE,0.9287804878048781,0.857685009487666,-0.07109547831721208,-7.654712738985543
LWB,,0.8177083333333334,,
LYH,,0.8961538461538462,,
MAF,0.9393379263989245,0.9127971425052346,-0.026540783893689968,-2.825477727215546
MBS,0.8965620328849029,0.8595980962453729,-0.036963936639530015,-4.122853219714168
MCI,0.8395446864612928,0.894001671413709,0.05445698495241624,6.48649033584551
MCN,,0.8197709463532248,,
MCO,0.8521772774359423,0.8691448356960868,0.01696755826014451,1.9910831595037397
MDT,0.8702463525472375,0.8552114060963618,-0.015034946450875664,-1.727665552043731
MDW,0.8848102038325399,0.8245720833631741,-0.06023812046936583,-6.808027327040925
MEI,,0.7704253882511817,,
MEM,0.8911820268540901,0.8502314956454343,-0.04095053120865577,-4.595080463327213
MFE,0.8937849391647484,0.9212101063829787,0.027425167218230295,3.0684302248211304
MFR,0.8426888426888427,0.8723199229101422,0.029631080221299455,3.5162540098137427
MGM,0.8392568659127625,0.7847672778561354,-0.05448958805662707,-6.492599616371926
MHT,0.8711513583441138,0.8567388752534415,-0.014412483090672334,-1.6544177946376173
MIA,0.8143667716382503,0.8228550602190083,0.008488288580758008,1.042317648064426
MKE,0.8851876641095608,0.8568410709899288,-0.028346593119632058,-3.2023258195929354
MKK,,0.9824561403508771,,
MLB,0.8966480446927374,0.8431542461005199,-0.05349379859221748,-5.965975045487183
MLI,0.8362204724409449,0.770977675134719,-0.06524279730622584,-7.802104762608929
MLU,0.8255528255528255,0.885589519650655,0.060036694097829524,7.272301933873994
MOB,0.8489965397923875,0.8370600414078675,-0.011936498384520045,-1.4059537141858056
MOD,,0.8636363636363636,,
MOT,0.9167192429022082,0.9173553719008265,0.0006361289986183127,0.06939191072333281
MQT,,0.8615916955017301,,
MRY,0.8794117647058823,0.8978694158075602,0.018457651101677852,2.0988633359767457
MSN,0.915707389528407,0.8589551220842996,-0.05675226744410744,-6.197642182764855
MSO,0.8825214899713467,0.9184562713974479,0.03593478142610118,4.071830752503024
MSP,0.8496746424456043,0.8286254206211494,-0.0210492218244549,-2.4773272936413964
MSY,0.8855673339289595,0.8744153550565723,-0.01115197887238717,-1.2593033239956641
MTJ,0.5,0.882132834424696,0.38213283442469603,76.4265668849392
MYR,0.9306409130816505,0.8524289642529789,-0.07821194882867166,-8.404095256212928
OAJ,0.9579055441478439,,,
OAK,0.9157715216616606,0.8954891516957059,-0.020282369965954783,-2.214784963956138
OGG,0.9123204837490552,0.9252789907811741,0.012958507032118982,1.420389793164326
OKC,0.8761706555671176,0.8788945154922324,0.0027238599251148132,0.31088235012296145
OMA,0.8525012569130216,0.8783722909054508,0.025871033992429182,3.0347209206600305
OME,0.8639744952178533,0.7783300198807157,-0.0856444753371376,-9.91284763742269
ONT,0.9191318772463367,0.8970524926097064,-0.022079384636630284,-2.4021998565405847
ORD,0.7977787497042396,0.7880457377517457,-0.009733011952493875,-1.2200139394665743
ORF,0.8476092377751274,0.8487232574189096,0.0011140196437822159,0.13143080491977457
ORH,0.8170940170940171,,,
OTZ,0.8592592592592593,0.7913741223671013,-0.06788513689215803,-7.900425414173563
OXR,,0.9458505002942907,,
PBI,0.8590971827555411,0.8730582524271845,0.013961069671643345,1.6250861895348585
PDX,0.8533800841514726,0.9024145053097183,0.049034421158245745,5.745906433591233
PFN,0.7832110839445803,0.8024142312579415,0.019203147313361257,2.45184825738754
PHF,0.7944700460829494,0.7934294493027653,-0.0010405967801840887,-0.13097998915310166
PHL,0.8172373333333334,0.7568699268415983,-0.06036740649173511,-7.386765634593513
PHX,0.8806065383027437,0.8382697316542809,-0.042336806648462844,-4.807687066469165
PIA,0.8871650211565585,0.8047619047619048,-0.0824031163946537,-9.288363994246339
PIE,,0.8666117743927543,,
PIH,,0.9294980259447264,,
PIT,0.8214419250039467,0.8181690008459441,-0.0032729241580026214,-0.39843646378128267
PNS,0.8778035576179428,0.8562659080700704,-0.021537649547872406,-2.4535842172157727
PSC,0.8734655335221907,0.9288702928870293,0.055404759364838574,6.343096234309627
PSE,0.8805309734513275,,,
PSG,0.7971246006389776,0.7770897832817337,-0.020034817357243884,-2.513385904936808
PSP,0.8455810942052444,0.885001646361541,0.039420552156296584,4.661948147427265
PVD,0.8765394324179607,0.8709275022013502,-0.00561193021661055,-0.6402370514159151
PWM,0.8484848484848485,0.8128900365827415,-0.035594811902107004,-4.195102831319754
RAP,0.948041876696394,0.9092265605570754,-0.038815316139318545,-4.094261771914214
RDD,,0.8638647784376428,,
RDM,,0.9035573122529644,,
RDU,0.8533240053758492,0.8333703038980419,-0.019953701477807284,-2.3383499529019596
RIC,0.8808757244043787,0.8466556836902801,-0.034220040714098565,-3.884775089838821
RNO,0.8710116519655886,0.8938584291047508,0.022846777139162167,2.6230162464077784
ROA,0.933570159857904,0.8433281699491038,-0.09024198990880028,-9.666331871890137
ROC,0.8711011920962386,0.8183569104071197,-0.05274428168911893,-6.054897199967531
ROR,0.9770992366412213,,,
RST,0.8952205882352942,0.8913633894622488,-0.003857198773045356,-0.4308657356338139
RSW,0.8641707058889074,0.8689680970448351,0.004797391155927699,0.5551439227499599
SAN,0.8831553081590693,0.8848280777643965,0.0016727696053272512,0.18940831696002905
SAT,0.892393742369609,0.897820519521246,0.0054267771516369745,0.6081146576876519
SAV,0.8810988696523108,0.8640101934437623,-0.01708867620854848,-1.9394731734580277
SBA,0.860381861575179,0.9080684142033836,0.04768655262820454,5.542486976759418
SBN,0.9352904040404041,0.8325900514579759,-0.10270035258242816,-10.980584440807707
SBP,,0.9161220043572985,,
SCC,0.9,0.88,-0.020000000000000018,-2.222222222222224
SCE,,0.9189964157706093,,
SDF,0.8596351650849576,0.8594456457637114,-0.00018951932124622317,-0.02204648308302895
SEA,0.8463927411160248,0.8653771384136858,0.018984397297660993,2.2429773290149924
SFO,0.8550161255643948,0.8821008570859079,0.02708473152151314,3.167745111664947
SGF,0.8428985507246377,0.8311078140454995,-0.011790736679138214,-1.398832240131597
SGU,,0.9112057667103539,,
SHV,0.8297491039426523,0.9025460930640913,0.07279698912143895,8.773373634937998
SIT,0.8084252758274825,0.8782816229116945,0.06985634708421207,8.641039459424245
SJC,0.919673326527636,0.9008182775662319,-0.01885504896140411,-2.050189824749421
SJT,,0.9392764857881137,,
SJU,0.8676042677012609,0.8701309639112309,0.0025266962099700363,0.2912268074319852
SLC,0.8136239293241849,0.8899052148033126,0.07628128547912771,9.37549680261847
SMF,0.8969808241534067,0.8879840596032227,-0.008996764550184055,-1.0030052268592733
SMX,,0.9590163934426229,,
SNA,0.8686587908269632,0.8716310815540778,0.0029722907271145793,0.34217010850543034
SPI,0.9209726443768997,,,
SPN,0.9497076023391813,,,
SPS,,0.955044955044955,,
SRQ,0.8803383536207964,0.8880019351717465,0.007663581550950149,0.8705268286256239
STL,0.8398452463035317,0.8774562740328815,0.037611027729349766,4.4783283461911285
STT,0.8603369065849923,0.8340439488356838,-0.02629295774930851,-3.0561234265394193
STX,0.8856447688564477,0.8543689320388349,-0.03127583681761281,-3.531420036274414
SUN,,0.9466756665541681,,
SUX,0.9118165784832452,,,
SWF,0.8847225741069167,0.8038755137991779,-0.0808470603077388,-9.13812563100358
SYR,0.881203007518797,0.8042481293748491,-0.07695487814394786,-8.732934123843911
TLH,0.9230273752012882,0.828009828009828,-0.09501754719146016,-10.294120168509554
TOL,0.8752086811352254,0.8203917866414916,-0.054816894493733836,-6.263294192035588
TPA,0.8755126702797715,0.8695083363758063,-0.006004333903965264,-0.6858077681556075
TRI,0.9018892940006629,0.8086006344730349,-0.09328865952762799,-10.343692972982495
TUL,0.8793990703851262,0.882248160127502,0.0028490897423757433,0.3239814366790274
TUS,0.8909574468085106,0.905644714997233,0.014687268188722347,1.648481444465553
TVC,0.9398496240601504,0.8116213683223993,-0.1282282557377511,-13.643486410496717
TWF,,0.8903896103896104,,
TXK,,0.9425754060324826,,
TYR,,0.9474219810040706,,
TYS,0.9043741275011633,0.8330422972448583,-0.07133183025630496,-7.887424914885484
VCT,,0.8788927335640139,,
VIS,,0.969437652811736,,
VLD,,0.8611500701262272,,
VPS,0.9860074626865671,0.8510517339397385,-0.1349557287468286,-13.687089992109769
WRG,0.7455089820359282,0.8078668683812406,0.06235788634531236,8.364471501740695
WYS,,0.9781931464174455,,
XNA,,0.8239951889345495,,
YAK,0.8653846153846154,0.8395245170876672,-0.025860098296948242,-2.98827802542513
YUM,,0.9475262368815592,,
